comuna_nombre,fecha,fk_comuna,fk_localidad,fk_region,funcionamiento_dia,funcionamiento_hora_apertura,funcionamiento_hora_cierre,local_direccion,local_id,local_lat,local_lng,local_nombre,local_telefono,localidad_nombre
QUILLOTA,2021-06-28,69,32,6,lunes,09:00:00,08:59:00,CHACABUCO 281,17,-32.878335491624,-71.246141889165,CRUZ VERDE,+56332319578,QUILLOTA
QUILLOTA,2021-06-28,69,437,6,lunes,09:00:00,21:00:00,"AVENIDA RAMÓN FREIRE Nº 1551, LOCAL Nº 9",5040,-32.8980865719736,-71.246009861099,CRUZ VERDE,+56332293683,COPA DE AGUA
